Name,AddressDetails,Latitude,Longitude
Bar Prague - Shoreditch,"6 Kingsland Road, London",51.5274583,-0.0778986
Barbican Centre,"Silk Street, London",51.5200768,-0.093263
Bernie Grant Arts Centre,London,51.587636,-0.072292
Bottega Prelibato,"45 Rivington Street, London",51.5261062,-0.081441
Copeland Park & Bussey Building,"133 Copeland Road, London",51.469852,-0.066321
Institute Of Contemporary Arts,"The Mall, London",51.5063335,-0.1309615
Village Underground,"54 Holywell Lane, London",51.5235754,-0.0784806
Asda,"31 Roehampton Vale, Roehampton",51.4394149,-0.2464637
Asda Barking Superstore,"Genoa Building, 2 Short Blue Place, Barking",51.537657,0.0771205
Asda Harlow Superstore,"The Water Gardens, South Gate, Harlow",51.767202,0.0961391
Asda Old Kent Road Superstore,"464 - 504 Old Kent Road, London",51.4847033,-0.0699537
BB's Coffee & Muffins,"53 The Harlequin Centre, Watford",51.6542301,-0.3925443
Belle Epoque Patisserie,"37 Newington Green, London",51.5521744,-0.0847708
Ben's Cookies,"9 Pelham Street, London",51.4940179,-0.1742724
Crepeaffaire,"Westfield London Shopping Centre, Ariel Way, London",51.5079205,-0.2218471
Franze & Evans,"101 Redchurch Street, London",51.5248216,-0.0726176
GAIL's Artisan Bakery,"75 Salusbury Road, London",51.5354442,-0.2049822
GAIL's Artisan Bakery,"138 Portobello Road, London",51.5145603,-0.204058
Krispy Kreme,"492 Great Cambridge Road, Enfield",51.65229,-0.059457
Le Pain Quotidien,"48-49, The Market, Covent Garden Piazza, Henrietta Street, London",51.5118629,-0.1223308
Le Pont de la Tour,"36D Shad Thames, London",51.5036889,-0.0738379
Lilys Indulgence,"107B George Lane, London",51.5924594,0.0270103
Lyric Hammersmith,"One Lyric Square, King Street, London",51.4932581,-0.2261521
Maison Fraise Patisserie,"50 High Street, Ilford",51.589674,0.081854
Only Eggless Cakes / Eggfree Cakes,"400 Kenton Road, Harrow",51.587288,-0.300298
Ottolenghi,"13 Motcomb Street, London",51.4994498,-0.1566639
Patisserie Valerie,"318 Chiswick High Road, London",51.4925533,-0.2615303
Patisserie Valerie,"174-176 Queensway, London",51.5154547,-0.1880112
Patisserie Valerie,"162 Piccadilly, London",51.5077325,-0.1402784
